Change Component Footprint: Designator=C40A Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C40B Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C52A Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=C52B Old Footprint=CAPC1608X87X35LL15T15 New Footprint=FP-C0603-CJ-MFG
Change Component Footprint: Designator=U13A Old Footprint=DBV0005A_L New Footprint=FP-DBV0005A-MFG
Change Component Footprint: Designator=U13B Old Footprint=DBV0005A_L New Footprint=FP-DBV0005A-MFG
Change Component Footprint: Designator=R59 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R60 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R73 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Footprint: Designator=R74 Old Footprint=RESC0402(1005)_L New Footprint=RESC1005X40X25LL05T05
Change Component Comment : Designator=C40A Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C40B Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C52A Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=C52B Old Comment=0.1 uF New Comment=C0603X104K5RACTU
Change Component Comment : Designator=R59 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R60 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R73 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Component Comment : Designator=R74 Old Comment=100 New Comment=ERJ-2RKF1000X
Change Managed Component Library Link : Designator=C40A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C40B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C52A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=C52B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 New ItemGUID=45AAB018-B39A-4BA4-98A9-D9E8C6136D32 Old RevisionGUID=8A61B673-4607-4E85-B5DE-56E31FBFEACA New RevisionGUID=68807F8B-A06A-4464-AFBA-93A9FF4C4A98
Change Managed Component Library Link : Designator=U13A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 New ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 Old RevisionGUID=7996A373-0811-44BF-A83E-2AFEFFCB9059 New RevisionGUID=9D1A43F3-42E8-4BCB-A204-A68241E655E1
Change Managed Component Library Link : Designator=U13B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 New ItemGUID=C6D5D53E-0588-4500-B806-941B92E75296 Old RevisionGUID=7996A373-0811-44BF-A83E-2AFEFFCB9059 New RevisionGUID=9D1A43F3-42E8-4BCB-A204-A68241E655E1
Change Managed Component Library Link : Designator=R59 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R73 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change Managed Component Library Link : Designator=R74 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=89FE0460-7D1A-4B11-9923-C86DF77D32ED New ItemGUID=52BF2754-DAE0-4791-BFF2-3133F275D8F8 Old RevisionGUID=DA2B7D7E-E915-4825-82FC-16D6C4CB7238 New RevisionGUID=9E729D99-CAC1-4F47-B38F-077F9568C433
Change component parameters: Designator = "R65" ("R65"); Footprint = "RESC1005X40X25NL05T05"; UniqueID = "\XSCYCGRR\RQVNQEXO\VNLMXBFB" ("\XSCYCGRR\RQVNQEXO\VNLMXBFB")
Change component parameters (AddParameter): Name = "Height"; Value = "0.35 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Basic Passives"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1 x 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "ERJ-2RKF1000X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100 Ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R60" ("R60"); Footprint = "RESC0402(1005)_L"; UniqueID = "\XSCYCGRR\RQVNQEXO\XYYEWOZK" ("\XSCYCGRR\RQVNQEXO\XYYEWOZK")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case\/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "04/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.35 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Basic Passives"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1 x 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "ERJ-2RKF1000X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100 Ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R73" ("R73"); Footprint = "RESC0402(1005)_L"; UniqueID = "\XSCYCGRR\RQVNQEXO\HPWCYMZD" ("\XSCYCGRR\RQVNQEXO\HPWCYMZD")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case\/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "04/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.35 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Basic Passives"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1 x 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "ERJ-2RKF1000X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100 Ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R74" ("R74"); Footprint = "RESC0402(1005)_L"; UniqueID = "\XSCYCGRR\RQVNQEXO\VWYXARSU" ("\XSCYCGRR\RQVNQEXO\VWYXARSU")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case\/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "04/2015"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.35 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Basic Passives"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "155 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "2-Pin Surface Mount Device, Body 1 x 0.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "ERJ-2RKF1000X"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "100 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "100 Ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.5 mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U13A" ("U13"); Footprint = "DBV0005A_L"; UniqueID = "\XSCYCGRR\TELXTRJF\NQTNIQME\AZTRZLNK" ("\XSCYCGRR\TELXTRJF\NQTNIQME\AZTRZLNK")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/sn74ahc1g04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Logic ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Logic Gates"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "IC INVERTER 1CH 1-INP SOT23-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.45mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT95P280X145-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Logic Function Desc"; Value = "Inverting"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SN74AHC1G04DBVR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "IC: digital; inverter; Channels: 1; Inputs: 1; SMD; SOT23-5; 2÷5.5VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "1uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Inputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/sn74ahc1g04dbvr-texas+instruments-464402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DBV0005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Propagation Delay"; Value = "5.3ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters: Designator = "U13B" ("U13"); Footprint = "DBV0005A_L"; UniqueID = "\XSCYCGRR\TELXTRJF\ZUEZTKKS\AZTRZLNK" ("\XSCYCGRR\TELXTRJF\ZUEZTKKS\AZTRZLNK")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/sn74ahc1g04.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Logic ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Logic Gates"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "IC INVERTER 1CH 1-INP SOT23-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.45mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT95P280X145-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Logic Function Desc"; Value = "Inverting"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SN74AHC1G04DBVR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "IC: digital; inverter; Channels: 1; Inputs: 1; SMD; SOT23-5; 2÷5.5VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "1uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Inputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/sn74ahc1g04dbvr-texas+instruments-464402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DBV0005A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Propagation Delay"; Value = "5.3ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
