Removed Pin From Net: NetName=3V3_RAW Pin=C113A-1
Removed Pin From Net: NetName=DGND Pin=C113A-2
Removed Pin From Net: NetName=NetC113B_1 Pin=C113B-1
Removed Pin From Net: NetName=DGND Pin=C113B-2
Removed Pin From Net: NetName=3V3_RAW Pin=C114A-1
Removed Pin From Net: NetName=NetC113B_1 Pin=C114B-1
Removed Pin From Net: NetName=3V3_RAW Pin=C115A-1
Removed Pin From Net: NetName=NetC113B_1 Pin=C115B-1
Removed Pin From Net: NetName=NetC24_1 Pin=L1-0
Removed Pin From Net: NetName=NetC25_1 Pin=L1-1
Removed Pin From Net: NetName=DGND Pin=R135A-1
Removed Pin From Net: NetName=DGND Pin=R135B-1
Removed Member From Class: ClassName=LCF1 Member=C113A
Removed Member From Class: ClassName=LCF2 Member=C113B
Removed Member From Class: ClassName=LCF1 Member=C114A
Removed Member From Class: ClassName=LCF2 Member=C114B
Removed Member From Class: ClassName=LCF1 Member=C115A
Removed Member From Class: ClassName=LCF2 Member=C115B
Removed Member From Class: ClassName=LCF1 Member=R135A
Removed Member From Class: ClassName=LCF2 Member=R135B
Change Component Footprint: Designator=L1 Old Footprint=CDRH125 New Footprint=FP-IHLP-3232DZ-FP_2_413x5-MFG
Change Component Footprint: Designator=L2A Old Footprint=FP-IHLP-2525CZ-FP_2_413x3-MFG New Footprint=WE-TPC-4828-MH
Change Component Footprint: Designator=L2B Old Footprint=FP-IHLP-2525CZ-FP_2_413x3-MFG New Footprint=WE-TPC-4828-MH
Change Component Comment : Designator=L2A Old Comment=0.47 uH New Comment=74404300047
Change Component Comment : Designator=L2B Old Comment=0.47 uH New Comment=74404300047
Change Component Comment : Designator=L1 Old Comment=15 uH New Comment=IHLP3232DZER2R2M01
Change Managed Component Library Link : Designator=L2A Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=71D6728A-4CC9-4CB3-8C46-A505EFB5D15C New ItemGUID=BB85A143-FB90-4C73-94B9-4F8DC401797E Old RevisionGUID=0E93259D-E74E-44BB-8536-D1A936F4DABA New RevisionGUID=CBEF0FCE-E901-43B9-895E-D9348FFC106F
Change Managed Component Library Link : Designator=L2B Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=71D6728A-4CC9-4CB3-8C46-A505EFB5D15C New ItemGUID=BB85A143-FB90-4C73-94B9-4F8DC401797E Old RevisionGUID=0E93259D-E74E-44BB-8536-D1A936F4DABA New RevisionGUID=CBEF0FCE-E901-43B9-895E-D9348FFC106F
Change Managed Component Library Link : Designator=L1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=DB778D83-7F17-4E44-83D6-03D0048EF5FA Old RevisionGUID= New RevisionGUID=47DF4478-B84D-460D-9E8B-6F151D023DC8
Change component parameters: Designator = "L1" ("L1"); Footprint = "CDRH125"; UniqueID = "\XSCYCGRR\RQVNQEXO\RXCMPSJW" ("\XSCYCGRR\RQVNQEXO\RXCMPSJW")
Add component (AddParameter): Name = "PCN Part Number"; Value = "MLCCPartNumberChange30/Nov/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = "CSeriesGeneralApplicationsSEAT,CCV,andTVCLDesignToolsGuidetoReplacinganElectrolyticCapacitorwithanMLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Information"; Value = "RoHSCertificate-MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063"Lx0.031"W(1.60mmx0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.035"(0.90mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "10V"; VariantName = "[No Variations]"
Added Component: Designator=C65B(CAPC1608X90X20LL10)
Add component (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "10µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://download.siliconexpert.com/pdfs/2015/4/21/15/54/45/779/tdk_/manual/37024850441143360mlcc_commercial_general_en.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Mar-15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Design Resources"; Value = "20WNon-IsolatedBuckLEDDriverUsingPLLNK460KG"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Kits"; Value = "445-9003-KIT-ND-KITCAPCERHICAPMLCCSMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.tdk.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "SurfaceMount,MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "CSeries,GeneralPurpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55degC~85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "445-7486-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603(1608Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 1.6 x 0.8 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape(CT)  "; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCN Part Number"; Value = "MLCCPartNumberChange30/Nov/2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Training Modules"; Value = "CSeriesGeneralApplicationsSEAT,CCV,andTVCLDesignToolsGuidetoReplacinganElectrolyticCapacitorwithanMLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Information"; Value = "RoHSCertificate-MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063"Lx0.031"W(1.60mmx0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.035"(0.90mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "10V"; VariantName = "[No Variations]"
Added Component: Designator=R102A(RESC1608X55X30NL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3RQFR22V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0.22 O"; VariantName = "[No Variations]"
Added Component: Designator=R102B(RESC1608X55X30NL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-3RQFR22V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0.22 O"; VariantName = "[No Variations]"
Added Pin To Net: NetName=3V3_RAW Pin=C63A-1
Added Pin To Net: NetName=DGND Pin=C63A-2
Added Pin To Net: NetName=NetC113B_1 Pin=C63B-1
Added Pin To Net: NetName=DGND Pin=C63B-2
Added Pin To Net: NetName=3V3_RAW Pin=C64A-1
Added Pin To Net: NetName=NetC113B_1 Pin=C64B-1
Added Pin To Net: NetName=3V3_RAW Pin=C65A-1
Added Pin To Net: NetName=NetC113B_1 Pin=C65B-1
Added Pin To Net: NetName=NetC24_1 Pin=L1-1
Added Pin To Net: NetName=NetC25_1 Pin=L1-2
Added Pin To Net: NetName=DGND Pin=R102A-1
Added Pin To Net: NetName=DGND Pin=R102B-1
Change Net Name : Old Net Name=NetC113B_1 New Net Name=NetC63B_1
Added Pin To Net: NetName=NetC64A_2 Pin=C64A-2
Added Pin To Net: NetName=NetC64A_2 Pin=C65A-2
Added Pin To Net: NetName=NetC64A_2 Pin=R102A-2
Added Net: Name=NetC64A_2
Added Pin To Net: NetName=NetC64B_2 Pin=C64B-2
Added Pin To Net: NetName=NetC64B_2 Pin=C65B-2
Added Pin To Net: NetName=NetC64B_2 Pin=R102B-2
Added Net: Name=NetC64B_2
Added Member To Class: ClassName=LCF1 Member=Component C63A (C63) 0.1 uF
Added Member To Class: ClassName=LCF2 Member=Component C63B (C63) 0.1 uF
Added Member To Class: ClassName=LCF1 Member=Component C64A (C64) 10 uF
Added Member To Class: ClassName=LCF2 Member=Component C64B (C64) 10 uF
Added Member To Class: ClassName=LCF1 Member=Component C65A (C65) 10 uF
Added Member To Class: ClassName=LCF2 Member=Component C65B (C65) 10 uF
Added Member To Class: ClassName=LCF1 Member=Component R102A (R102) 0.22 O
Added Member To Class: ClassName=LCF2 Member=Component R102B (R102) 0.22 O
